osm_id,type
5670832,residential
5670665,residential
5670842,primary
5670640,residential
5670851,tertiary
5670853,residential
5670820,residential
5670762,residential
5670800,residential
5670867,secondary
5670831,tertiary_link
5670848,primary
5670770,residential
5670818,residential
5670793,residential
5670871,pedestrian
5670874,secondary
5670811,residential
5670572,residential
5670899,secondary
5670905,footway
5670846,secondary
5670906,footway
5670907,footway
5670908,footway
5670912,footway
5670859,residential
5670913,footway
5670785,residential
5670920,unclassified
5670924,primary
5670922,residential
5670873,secondary
5670932,primary
5670925,residential
5670935,cycleway
5670938,residential
5670941,unclassified
5670946,primary
5670836,secondary
5670964,secondary_link
5670760,unclassified
5670566,residential
5670744,residential
5670976,residential
5670971,residential
5670881,secondary
5671007,service
5671008,unclassified
5670774,residential
5670888,residential
5670891,residential
5670883,secondary
5670876,unclassified
5671028,residential
5670910,footway
5670701,residential
5670797,residential
5671061,residential
5670814,residential
5670951,secondary
5670909,footway
5671086,residential
5670897,residential
5670988,tertiary
5671009,secondary
5670787,residential
5670877,unclassified
5671080,primary
5671016,cycleway
5671015,unclassified
5670578,residential
5671084,unclassified
5671109,residential
5670967,secondary_link
5670822,unclassified
5671095,residential
5670896,secondary
5671121,residential
5670742,residential
5671056,tertiary
5670983,secondary
5671092,secondary
5671135,residential
5671117,unclassified
5671144,unclassified
5671083,primary
5670942,unclassified
5670996,secondary
5670468,residential
5671158,residential
5671160,residential
5671133,cycleway
5671172,secondary
5671089,secondary
5670719,unclassified
5671175,footway
5671177,residential
5671179,service
5671111,residential
5671189,residential
5671059,residential
5671187,residential
5671090,secondary
5670508,residential
5671103,secondary
5671115,residential
5671106,residential
5671192,secondary
5671112,residential
5671107,track
5671137,residential
5671196,primary
5671230,motorway_link
5671222,residential
5670894,residential
5671244,secondary
5671236,motorway_link
5671248,residential
5671255,residential
5671119,residential
5671203,unclassified
5671093,secondary
5671259,tertiary
5671281,residential
5671283,residential
5671134,residential
5671291,primary
5671282,primary
5671296,service
5671181,secondary
5671295,residential
5671297,residential
5671300,residential
5671118,residential
5671302,residential
5671166,service
5671202,primary
5671246,secondary
5671129,residential
5671214,track
5671197,primary
5671204,secondary
5671162,residential
5671318,residential
5671298,residential
5671149,rail
5671317,unclassified
5671326,unclassified
5671331,residential
5671014,unclassified
5671335,secondary
5671221,unclassified
5671341,residential
5671313,cycleway
5671212,residential
5671185,residential
5671285,residential
5670828,tertiary
5671353,residential
5671343,residential
5671030,tertiary
5671322,unclassified
5671332,residential
5671257,residential
5671368,residential
5671369,footway
5671319,residential
5671393,secondary
5671354,residential
5671140,unclassified
5671357,residential
5671327,residential
5671404,residential
5671402,residential
5671220,secondary
5671261,unclassified
5671349,residential
5671314,residential
5671413,residential
5671370,service
5671425,primary
5671406,residential
5671359,residential
5671367,residential
5671398,residential
5671365,residential
5671436,unclassified
5671360,tertiary
5671315,primary
5671444,residential
5671146,rail
5671447,residential
5671345,tertiary
5671446,residential
5670961,secondary
5671460,unclassified
5671458,unclassified
5670756,residential
5671434,residential
5671288,unclassified
5671463,residential
5671472,tertiary
5671478,residential
5671198,motorway_link
5671476,residential
5671440,unclassified
5671485,residential
5671459,residential
5671457,residential
5671492,residential
5671480,primary
5671461,residential
5671507,rail
5671400,residential
5671491,residential
5671422,residential
5671488,tertiary
5670915,unclassified
5671182,pedestrian
5671562,service
5671558,residential
5671568,residential
5671401,unclassified
5671429,residential
5671570,residential
5671574,residential
5671573,secondary
5671581,service
5671579,residential
5671454,cycleway
5671494,residential
5671587,secondary
5671599,unclassified
5671442,unclassified
5671538,service
5671603,residential
5671329,residential
5671536,steps
5671543,residential
5671622,tertiary
5671352,residential
5671339,residential
5671629,residential
5671626,residential
5671307,residential
5671623,residential
5671635,residential
5671452,residential
5671644,residential
5671637,residential
5671528,residential
5671645,residential
5671654,primary
5671661,residential
5671659,residential
5671656,secondary
5671663,residential
5671666,steps
5671617,tertiary
5671678,pedestrian
5671397,residential
5671668,unclassified
5671684,residential
5671686,cycleway
5671681,residential
5671564,residential
5671405,residential
5671693,unclassified
5671615,unclassified
5671690,secondary
5671432,tertiary
5671701,residential
5671699,residential
5671597,residential
5671709,secondary
5671410,residential
5671672,secondary
5671710,residential
5671688,secondary
5671711,residential
5671712,residential
5671717,secondary
5671450,residential
5671674,secondary_link
5671628,residential
5671584,residential
5671749,residential
5671702,residential
5671756,residential
5671754,unclassified
5671775,primary
5671593,secondary
5671714,tertiary
5671781,residential
5671779,residential
5671610,track
5671795,service
5671786,residential
5671647,primary
5671788,residential
5671703,residential
5671649,primary
5671813,unclassified
5671752,residential
5671704,motorway_link
5671816,unclassified
5671415,residential
5671311,unclassified
5671914,residential
5671475,secondary
5671916,residential
5671901,motorway
5671789,residential
5671928,residential
5671918,residential
5671801,residential
5671926,cycleway
5671810,secondary
5671685,residential
5671540,residential
5671608,primary
5671780,residential
5671799,unclassified
5671866,motorway_link
5671998,secondary
5671994,secondary
5671403,residential
5672027,unclassified
5671639,residential
5671533,secondary
