,BLOCK,LOT,CD,CT2010,CB2010,ZipCode,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,LotType,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,Tract2010,XCoord,YCoord,SHAPE_Leng,SHAPE_Area
6102,927,26,106,64,4000,10010,4,1950,4839,1210,3629,0,1210,0,0,0,0,1,4,5,6,25,78,25,44,5,132511,344904,0,0,1910,2009,0,2.48,4,2,4,1,64,989892,207379,214.421635,2140.690924
6103,927,32,106,64,4000,10010,2,2475,9900,2350,7550,0,2350,0,0,0,0,1,4,9,13,24.75,100,25,98,3,64350,896850,0,0,1930,1986,0,4,4,2,4,1,64,989956,207516,258.3034949,2756.967023
6104,927,36,106,64,4000,10010,4,1950,5600,2760,2840,0,2760,0,0,0,0,1,4,2,3,20,97.5,20,61.5,5,85949,153777,7580,7580,1910,0,0,2.87,4,0,4,1,64,989820,207549,242.5940322,2121.798605
6105,927,37,106,64,4000,10010,3,2438,11813,0,11813,0,0,0,0,0,0,1,7,14,14,25,97.5,25,90,5,769500,1417500,538843,1186843,2008,0,0,4.85,4,0,4,1,64,989800,207560,248.4663231,2415.713544
6106,927,38,106,64,4000,10010,3,15112,67048,3200,63848,0,0,3200,0,0,0,1,8,94,94,155,97.5,155,97.5,5,1467000,6878700,0,0,1948,1979,0,4.44,4,0,4,1,64,989722,207604,511.4927685,15580.10215
6107,927,55,106,64,4000,10010,5,17640,182258,170258,12000,158160,12098,0,0,0,0,1,10,0,26,84.58,194.08,84.58,194,3,4635000,16205850,0,0,1909,2008,2006,10.33,10,2,10,1,64,989503,207730,597.0915684,18570.22857
6108,927,124,106,64,4000,10010,4,656,2628,600,2028,0,600,0,0,0,0,1,4,3,5,26.5,24.75,27,24,5,144105,242375,0,0,1920,0,0,4.01,4,2,4,1,64,989856,207368,111.1973752,772.1646742
6109,928,1,106,64,5000,10010,3,19684,189616,7500,182116,0,7500,0,0,0,0,1,16,262,266,98.75,199.33,97,220,3,2484000,19166850,531768,531768,1965,1986,0,9.63,10,2,10,1,64,989575,207862,605.9535918,20386.88238
6110,928,9,106,64,5000,10010,3,14878,81500,1500,80000,0,1500,0,0,0,0,1,6,115,116,150.67,98.75,122,97,5,1764000,8176050,0,0,1968,1985,0,5.48,4,0,4,1,64,989728,207777,499.8110522,15033.36966
6111,928,20,106,64,5000,10010,2,1947,6095,0,6095,0,0,0,0,0,0,1,5,15,15,25,77.75,25,44,5,77400,592650,0,0,1910,0,0,3.13,4,0,4,1,64,989910,207665,209.9488704,1999.376611
6112,928,23,106,64,5000,10010,2,1775,6295,0,6295,0,0,0,0,0,0,1,5,11,11,25.5,74,26,74,5,126000,480150,0,0,1901,0,0,3.55,4,2,4,1,64,989973,207626,207.1261249,1928.379965
6113,928,24,106,64,5000,10010,4,1839,6183,1500,4683,0,1500,0,0,0,0,1,5,8,10,24.67,74.5,25,54,3,104612,511075,0,0,1910,0,0,3.36,4,2,4,1,64,990007,207580,207.3160455,2027.143272
6114,928,31,106,64,5000,10010,3,9875,150800,8500,142300,5000,3500,0,0,0,0,1,20,138,141,98.67,100,98.67,100,3,1422000,17821800,0,3285180,2002,0,0,15.27,10,2,10,1,64,990063,207707,407.4906331,10375.42881
6115,928,40,106,64,5000,10010,4,15800,153800,21000,132800,13000,0,8000,0,0,0,1,16,210,213,160,98.75,160,99,5,2529000,16019550,0,0,1965,2010,2010,9.73,10,2,10,1,64,989804,207851,523.2864305,16180.91308
6116,929,50,106,64,6000,10010,3,9875,44835,0,44835,0,0,0,0,0,0,1,6,70,70,100,98,99.83,67.67,5,774000,3252150,774000,3252150,1975,0,0,4.54,6.02,0,6.5,1,64,989857,208162,412.1848064,10618.39724
